Country,Brand ,Brand Prefix,Product,Product Prefix,Standard Promocode,Product Type,Rate Plan Week,Rate Plan Month,Rate Plan Quarter,Rate Plan 6 months,Rate Plan Year,Rate Plan Year/month,Rate plan 6-month/month,Rate plan quarter/month,Rate Plan Day,In-app 3 mån,in-app 6 mån,Pub 1500,Pub 2000,B2B Year,Övriga Sverige Månad,Övriga Sverige Kvartal,Övriga Sverige Halvår,Övriga Sverige År,Sthlm Månad,Sthlm Kvartal,Sthlm Halvår,Sthlm År,Företag År
NO,Aftenposten,AP,A-magasinet,AMAG,AP-AMAG-,Digital,107,499,1497,2994,5988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Aftenposten mandag til lørdag,D16,AP-D16,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Aftenposten torsdag til lørdag,D46,AP-D46,Print,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Basis,BAS,AP-BAS-,Digital,N/A,199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Duo,DUO,AP-DUO-,Digital,67,299,897,1794,3588,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Full Tilgang,FT,AP-FT-,Digital,87,379,1137,2274,4548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Full Tilgang Helg,WFT,AP-WFT-,Print,N/A,638,1914,3828,7656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Full Ttlgang Uke,KFT,AP-KFT-,Print,N/A,838,2514,5028,10056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Helg,W,AP-W-,Print,123,569,1707,3414,6828,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NO,Aftenposten,AP,Magasin+,MP,AP-MP-,Digital,34,149,599,1099,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
